586,901
483,164
877,340
1,327,029
1,698,286
2,479,989
2,870,359
3,522,449
4,274,622
5,212,174
6,050,945
6,763,652
7,843,686
9,626,488
10,076,379
11,614,925
12,473,843
12,761,445
13,213,176
14,193,123
15,085,308
16,027,801
16,821,599
18,100,945
18,623,549
20,701,829
20,444,048
21,238,299
22,216,387
23,469,259
23,355,690
24,025,176
24,643,495
25,180,117
25,680,589
26,134,644
27,459,921
27,246,598
27,559,727
28,222,117
28,707,376
28,897,744
29,855,261
29,501,429
29,757,155
30,018,960
30,147,206
30,287,228
30,412,026
30,443,697
30,584,351
30,549,876
30,463,415
30,401,525
30,277,786
30,078,640
29,977,561
29,739,830
29,379,556
29,187,873
29,025,940
29,344,388
28,211,620
27,677,339
27,119,400
26,895,098
26,376,995
25,684,472
25,038,585
24,312,093
23,715,336
22,971,707
22,847,321
22,030,785
20,813,580
20,185,138
19,253,847
18,536,182
17,435,166
16,402,573
15,313,084
14,127,128
13,470,496
12,044,825
11,106,021
10,167,210
9,073,623
7,775,424
6,922,819
6,272,832
5,205,590
4,460,749
3,804,760
3,262,475
2,519,146
2,034,237
1,897,115
1,175,729
1,438,888
408,746
53,823
