603,830
521,490
1,492,068
1,273,251
1,448,098
2,755,193
2,265,658
2,669,982
2,998,732
3,212,489
3,642,434
4,154,650
4,386,461
4,818,985
5,699,365
5,314,178
6,530,831
5,871,720
6,170,148
6,568,761
6,805,917
7,043,303
7,324,128
7,694,830
7,777,665
8,360,618
8,667,959
8,720,655
9,221,455
9,006,961
9,993,323
9,764,332
10,033,221
10,277,987
10,886,778
11,323,860
11,094,668
11,032,210
11,465,624
11,441,602
11,586,380
11,671,513
12,155,906
12,233,180
12,311,720
12,117,340
11,972,430
13,499,549
13,899,187
11,843,819
11,304,080
11,283,161
11,450,025
10,916,043
11,119,251
10,183,203
9,707,857
9,461,388
9,490,953
8,702,660
8,491,743
8,095,653
7,767,381
7,473,478
7,446,411
6,650,667
6,263,481
6,027,024
5,735,767
5,394,905
5,300,668
4,884,256
4,685,943
4,401,434
4,167,048
3,833,288
3,880,817
3,429,312
3,264,068
3,113,356
2,849,861
2,717,908
2,530,974
2,212,641
2,055,210
1,854,172
3,057,039
1,606,013
1,252,464
1,106,372
1,148,111
1,042,410
1,391,301
920,726
453,843
488,071
461,025
234,281
136,248
145,638
81,502
