640,075
437,603
1,190,164
1,445,915
1,751,930
2,406,971
3,068,416
3,649,799
4,402,561
5,044,698
6,129,475
6,833,480
7,611,970
8,375,371
9,300,976
10,058,729
10,926,573
11,971,705
12,835,215
13,530,081
14,447,526
15,799,135
16,085,483
17,006,970
17,750,887
18,531,361
19,309,297
20,329,407
20,746,812
21,545,089
22,100,654
22,830,504
23,355,150
23,822,839
24,323,457
24,846,347
25,360,276
25,750,442
26,098,514
26,386,219
26,740,053
27,223,977
27,449,552
28,171,580
27,919,238
28,157,366
28,439,031
28,780,214
28,923,340
29,035,595
29,185,859
29,467,398
30,403,362
29,214,089
29,214,806
29,183,624
29,268,690
28,996,007
28,461,176
28,252,572
27,893,954
27,592,389
28,018,844
26,798,179
26,319,471
25,652,105
25,154,340
24,718,584
23,954,576
23,379,222
22,793,071
22,150,698
21,316,131
20,637,630
20,366,183
18,862,619
18,059,111
17,137,114
16,213,584
15,141,155
14,142,200
13,129,482
12,077,493
10,976,741
9,936,002
8,916,703
7,941,747
7,033,164
6,461,987
5,403,518
4,656,095
3,993,789
3,506,278
2,803,572
2,300,631
1,966,754
1,383,357
995,991
650,878
321,468
33,773
